ID,Title,Organisation,school/sub-org,Country,Full programme / Module,Level,Start year of prog/module,Latest offering,Lat,Long,Homepage,Syllabus,instructor 1,instructor Academic/Professional,instructor 2,Instructor Twitter
BH153,Data Journalism,TU Dortmond,Institute for Journalism,Germany,Programme,PG,,,51.492698,7.412839,https://wj.ifj.tu-dortmund.de/datenjournalismus/studienschwerpunkt/,,,,,
BH154,Data-driven journalism in Master of Science in Scientific Digital Journalism,International School for Advanced Studies,,Italy,Module,PG,2015?,2018,45.679819,13.775061,http://mcs.sissa.it/la-struttura-del-master,http://mcs.sissa.it/corso/data-driven-journalism-raccontare-il-mondo-partire-dai-numeri-1,Elisabetta Tola,Professional mainly/trainer,,@elisabetta_tola
BH155,Data Journalism Lab,Universitö degli studi Internazionali di Roma,,Italy,Peofessional 6 hours,,2013,2013,41.859918,12.496614,http://www.unint.eu/it/news/item/1061-data-journalism-lab.html,,"Elisabetta Tola, Paolo Conti, Carlo Romagnoli, Alessio Cimarelli, Gianmarco Guazzo",Professional,,
BH156,"Master in Journalism Research, Data and Visualization",University Rey Juan Carlos of Madrid,The School of Journalism and Communication,Spain,Programme,PG,2012,2017,40.42526,-3.69063,http://www.escuelaunidadeditorial.es/formacion-presencial/masteres/master-en-periodismo-de-investigacion-datos-y-visualizacion,,Olaya Arg™eso | Dr. Antonio Rubio,Academic and Professional | Academic,,@oargueso | @ARubioCampana
BH157,Data investigation,Science PO,School of Journalism,France,Module,PG,,2018,48.842251,2.3566614,https://docs.google.com/spreadsheets/d/1klfaI1Zmcs4bEiYAmgwgICAt4XkCWCNoPxgihdrOEww/pubhtml?gid=104906139&single=true,,Laurence Benhamou and Jules Bonnard,Professional,,@lbenhamou and @julesbonnard
BH158,Data Journalism,The University of Melbourne,Graduate School of Humanities and Social Sciences,Australia,Module,PG,2013,2017,-37.796369,144.961174,https://handbook.unimelb.edu.au/subjects/jour90011,,Margaret Simons,Academic,,@MargaretSimons
BH159,Investigative Journalism,The University of Melboure,Graduate School of Humanities and Social Sciences,Australia,Module,PG,2013,2017,-37.796369,144.961174,https://handbook.unimelb.edu.au/subjects/jour90013,,Margaret Simons,Academic,,@MargaretSimons
BH16,Precision Journalism,University of South Carolina,School of Journalism and Mass Communications,USA,Module,,,2006,33.9928298,-81.0268517,https://ire.org/media/uploads/files/documents/educators-center/jour547fall06.pdf,,Chris Roberts,,,
BH160,Data journalism,University of Hong Kong,Journalism and Media Studies Centre,Hong Kong,Module,PG,2015?,2017,22.2686509,114.1298598,http://jmsc.hku.hk/postgraduate/,,Irene Jay Liu,Professional,Boyd Koehler,@irenejayliu
BH161,Data Journalism,RNTC,,Netherlands,Vocational Module,Vocational,,2018,52.244329,5.16592,https://rntc.com/courses/data-journalism,,,Professional,,
