Ana Isabel Carvalho,Journalism++ Porto,"Porto, Portugal",http://www.github.com/aiscarvalho
Anne-Lise Bouyer,Journalism++,"Berlin, Germany",N/A
Lucas Piessat,N/A,"Lyon, France",N/A
Jonathan Stoneman,Stonepeople Media Ltd,"Ottery St Mary, United Kingdom",N/A
Haoyun Su,N/A,"Indianapolis, United States",N/A
Chris Walker,PolicyMic,"New York, United States",N/A
Patricia Munoz,Rutgers University,"New Brunswick, United States",N/A
Philippe Couve,Samsa,"Paris, France",N/A
Youyou Zhou,Graphicacy,"Shanghai, China",http://www.github.com/zhoyoyo
Pinar Dag,Dag Medya,"Istanbul, Turkey",http://www.github.com/pinardag
Sabino Metta,N/A,"N/A, Italy",N/A
Julian Schmidli,Tages-Anzeiger,"Zurich, Switzerland",http://www.github.com/datajules
Mona Chalabi,FiveThirtyEight,"New York, United States",http://www.github.com/MonaChalabi
Alberto Cairo,"University of Miami, School of Communication","Miami, United States",N/A
Jean Abbiateci,N/A,"Guichen, France",http://www.github.com/jeanabbiateci
Steffen Kühne,N/A,"Munich, Germany",N/A
Marcelo Soares,Folha,"Sao Paulo, Brazil",N/A
Steve Doig,Arizona State University,"Phoenix, (US-AZ), United States",N/A
Raphaël da Silva,Rue89Strasbourg,"Strasbourg, France",http://www.github.com/raphadasilva
Flip Schultz,Dutch Network Group B.V.,"Utrecht, The Netherlands",N/A
Julien Le Bot,N/A,"Paris, France",N/A
Erik Willems,LocalFocus,"Amsterdam, The Netherlands",N/A
Frederic Sallet,Journal Sud Ouest,"Bordeaux, France",N/A
Markus Mandalka,N/A,"Berlin, Germany",N/A
Mehdi Guiraud,N/A,"Paris, France",http://www.github.com/mguiraud
Karsten Hufer,Hessischer Rundfunk,"Frankfurt, Germany",N/A
Timo Grossenbacher,Tages-Anzeiger,"Zurich, Switzerland",http://www.github.com/wnstnsmth
Alexandre Léchenet,Le Monde,"N/A, France",http://www.github.com/alphoenix
Paul Joannon,Journalism++,"Paris, France",http://www.github.com/paulloz
Sebastian Kraus,Journalism++,"Berlin, Germany",http://www.github.com/smkraus
Pierre Bellon,Journalism++,"Paris, France",https://github.com/pbellon
Pierre Romera,Journalism++,"Paris, France",http://www.github.com/pirhoo
Peter Gresund,Journalism++ Stockholm,"Stockholm, Sweden",N/A
Jens Finnäs,Journalism++ Stockholm,"Stockholm, Sweden",N/A
Nicolas Kayser-Bril,Journalism++,"Berlin, Germany",N/A
Cosmin Cabulea,Freelance,"Bonn, Germany",http://www.github.com/pushthings4ward
Mirko Lorenz,Journalism++ Cologne,"Cologne, Germany",N/A
Jelle Kamsma,LocalFocus,"Amsterdam, The Netherlands",N/A
Yordi Dam,LocalFocus,"Amsterdam, The Netherlands",N/A
